episode,learning_rate_0.1,learning_rate_0.01,learning_rate_0.001
1,23800.913544189945,24683.913544189945,22291.913544189945
2,21092.913544189945,27537.913544189945,18726.913544189945
3,20326.913544189945,19433.913544189945,27525.913544189945
4,22681.913544189945,22630.913544189945,27798.913544189945
5,25568.913544189945,23628.913544189945,21112.913544189945
6,21500.913544189945,28158.913544189945,17784.913544189945
7,27871.913544189945,22197.913544189945,18017.913544189945
8,23878.913544189945,21458.913544189945,15531.913544189945
9,20976.913544189945,26861.913544189945,23879.913544189945
10,26851.913544189945,27815.913544189945,20295.913544189945
11,18571.913544189945,22942.913544189945,22969.913544189945
12,27237.913544189945,26067.913544189945,24106.913544189945
13,28353.913544189945,29263.913544189945,24408.913544189945
14,24681.913544189945,28300.913544189945,31910.913544189945
15,19317.913544189945,27007.913544189945,18297.913544189945
16,21795.913544189945,27467.913544189945,15388.913544189945
17,24562.913544189945,23207.913544189945,13521.913544189945
18,25701.913544189945,29203.913544189945,19057.913544189945
19,22705.913544189945,28224.913544189945,19056.913544189945
20,28105.913544189945,29386.913544189945,23966.913544189945
21,22730.913544189945,27262.913544189945,30241.913544189945
22,21161.913544189945,31675.913544189945,24082.913544189945
23,21633.913544189945,29880.913544189945,26960.913544189945
24,17710.913544189945,25507.913544189945,24768.913544189945
25,27079.913544189945,22439.913544189945,24165.913544189945
26,22983.913544189945,28431.913544189945,15764.913544189945
27,24330.913544189945,27568.913544189945,20203.913544189945
28,17880.913544189945,18745.913544189945,24888.913544189945
29,21835.913544189945,33675.91354418994,22480.913544189945
30,22821.913544189945,32091.913544189945,22863.913544189945
31,18673.913544189945,27536.913544189945,20381.913544189945
32,26219.913544189945,23612.913544189945,25321.913544189945
33,20834.913544189945,27713.913544189945,25514.913544189945
34,29657.913544189945,24040.913544189945,22128.913544189945
35,24724.913544189945,29378.913544189945,22291.913544189945
36,24540.913544189945,27451.913544189945,24178.913544189945
37,22370.913544189945,25720.913544189945,26767.913544189945
38,24123.913544189945,21704.913544189945,21028.913544189945
39,23921.913544189945,28960.913544189945,20885.913544189945
40,20367.913544189945,28267.913544189945,24117.913544189945
41,23508.913544189945,28111.913544189945,26849.913544189945
42,27560.913544189945,29337.913544189945,28765.913544189945
43,23764.913544189945,28058.913544189945,24799.913544189945
44,19687.913544189945,26824.913544189945,19611.913544189945
45,19485.913544189945,29123.913544189945,24296.913544189945
46,22307.913544189945,32040.913544189945,28968.913544189945
47,28434.913544189945,30165.913544189945,19565.913544189945
48,21659.913544189945,28531.913544189945,22666.913544189945
49,21216.913544189945,19665.913544189945,25662.913544189945
50,23411.913544189945,27768.913544189945,21886.913544189945
51,27494.913544189945,28465.913544189945,20009.913544189945
52,23481.913544189945,28645.913544189945,21059.913544189945
53,19501.913544189945,24626.913544189945,16860.913544189945
54,23142.913544189945,25813.913544189945,22753.913544189945
55,27793.913544189945,23979.913544189945,21187.913544189945
56,23037.913544189945,23364.913544189945,22903.913544189945
57,19974.913544189945,26581.913544189945,18637.913544189945
58,27967.913544189945,30741.913544189945,27428.913544189945
59,23497.913544189945,28107.913544189945,17971.913544189945
60,22325.913544189945,20759.913544189945,23106.913544189945
61,26839.913544189945,26648.913544189945,21979.913544189945
62,28506.913544189945,26612.913544189945,23034.913544189945
63,22310.913544189945,24017.913544189945,22029.913544189945
64,23989.913544189945,28003.913544189945,19947.913544189945
65,23575.913544189945,26600.913544189945,21223.913544189945
66,21440.913544189945,30473.913544189945,20937.913544189945
67,19787.913544189945,26641.913544189945,20957.913544189945
68,21352.913544189945,24505.913544189945,24351.913544189945
69,21977.913544189945,23326.913544189945,24270.913544189945
70,20285.913544189945,28553.913544189945,19890.913544189945
71,23569.913544189945,28310.913544189945,23095.913544189945
72,21064.913544189945,28866.913544189945,21240.913544189945
73,19499.913544189945,29367.913544189945,23884.913544189945
74,24063.913544189945,26840.913544189945,26493.913544189945
75,19813.913544189945,32028.913544189945,20866.913544189945
76,26497.913544189945,26103.913544189945,23736.913544189945
77,26549.913544189945,22445.913544189945,23133.913544189945
78,23335.913544189945,27553.913544189945,19866.913544189945
79,22878.913544189945,29247.913544189945,25066.913544189945
80,26700.913544189945,33399.91354418994,18375.913544189945
81,18377.913544189945,23715.913544189945,17117.913544189945
82,23281.913544189945,31693.913544189945,19945.913544189945
83,23934.913544189945,28971.913544189945,22098.913544189945
84,21536.913544189945,27524.913544189945,17547.913544189945
85,24540.913544189945,26564.913544189945,17752.913544189945
86,27595.913544189945,24958.913544189945,22457.913544189945
87,24096.913544189945,26652.913544189945,21016.913544189945
88,22486.913544189945,29914.913544189945,28434.913544189945
89,27412.913544189945,28944.913544189945,23732.913544189945
90,23435.913544189945,27308.913544189945,21325.913544189945
91,25877.913544189945,28345.913544189945,21525.913544189945
92,29599.913544189945,25520.913544189945,20691.913544189945
